Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,undefined,undefined,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,undefined,diameter1,diameter2,DNA_per_g,elev,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,org_matter,Organism,undefined,Platform,ReleaseDate,undefined,samp_collect_device,samp_size,samp_store_dur,samp_store_loc,samp_store_temp,Sample Name,SRA Study,undefined,water_content
SRR12805375,AMPLICON,502,3451752,PRJNA668398,SAMN16408959,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2510258,UNIVERSITY OF COLORADO AT BOULDER,NA,NA,public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",NA,NA,NA,NA,NA,NA,NA,NA,SRX9274138,uncalculated,uncalculated,NA,Illumina MiSeq,NA,NTC31_16S,PAIRED,PCR,GENOMIC,NA,sediment metagenome,NA,ILLUMINA,2020-10-09T00:00:00Z,Negative control replicate 6,No-template negative control,No-template negative control,NA,NA,-20 C,NTC31,SRP286940,NA,NA
SRR12805376,AMPLICON,502,2578272,PRJNA668398,SAMN16408958,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",1911885,UNIVERSITY OF COLORADO AT BOULDER,NA,NA,public,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",NA,NA,NA,NA,NA,NA,NA,NA,SRX9274137,uncalculated,uncalculated,NA,Illumina MiSeq,NA,NTC23_16S,PAIRED,PCR,GENOMIC,NA,sediment metagenome,NA,ILLUMINA,2020-10-09T00:00:00Z,Negative control replicate 5,No-template negative control,No-template negative control,NA,NA,-20 C,NTC23,SRP286940,NA,NA
SRR12805377,AMPLICON,502,979402,PRJNA668398,SAMN16408957,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",780981,UNIVERSITY OF COLORADO AT BOULDER,NA,NA,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",NA,NA,NA,NA,NA,NA,NA,NA,SRX9274136,uncalculated,uncalculated,NA,Illumina MiSeq,NA,NTC22_16S,PAIRED,PCR,GENOMIC,NA,sediment metagenome,NA,ILLUMINA,2020-10-09T00:00:00Z,Negative control replicate 4,No-template negative control,No-template negative control,NA,NA,-20 C,NTC22,SRP286940,NA,NA
SRR12805378,AMPLICON,502,3323742,PRJNA668398,SAMN16408956,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2454641,UNIVERSITY OF COLORADO AT BOULDER,NA,NA,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",NA,NA,NA,NA,NA,NA,NA,NA,SRX9274135,uncalculated,uncalculated,NA,Illumina MiSeq,NA,NTC21_16S,PAIRED,PCR,GENOMIC,NA,sediment metagenome,NA,ILLUMINA,2020-10-09T00:00:00Z,Negative control replicate 3,No-template negative control,No-template negative control,NA,NA,-20 C,NTC21,SRP286940,NA,NA
SRR12805380,AMPLICON,502,4103850,PRJNA668398,SAMN16408954,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",3014662,UNIVERSITY OF COLORADO AT BOULDER,NA,NA,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",NA,NA,NA,NA,NA,NA,NA,NA,SRX9274133,uncalculated,uncalculated,NA,Illumina MiSeq,NA,NTC11_16S,PAIRED,PCR,GENOMIC,NA,sediment metagenome,NA,ILLUMINA,2020-10-09T00:00:00Z,Negative control replicate 1,No-template negative control,No-template negative control,NA,NA,-20 C,NTC11,SRP286940,NA,NA
SRR12805381,AMPLICON,502,13134830,PRJNA668398,SAMN16408953,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",8752012,UNIVERSITY OF COLORADO AT BOULDER,0.073 ug / g cryoconite,NA,public,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",NA,0.38,0.35,0.59,NA,NA,NA,NA,SRX9274132,uncalculated,uncalculated,NA,Illumina MiSeq,NA,T14_16S,PAIRED,PCR,GENOMIC,Total: 0.43%,sediment metagenome,NA,ILLUMINA,2020-10-09T00:00:00Z,Taylor Glacier replicate 11,SIPRE core frozen,79 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,T14,SRP286940,< 0 C,NA
SRR12805382,AMPLICON,502,18217078,PRJNA668398,SAMN16408952,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",11863959,UNIVERSITY OF COLORADO AT BOULDER,0.023 ug / g cryoconite,Dec-2017,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",0.49,1.01,0.88,6.7,350,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274131,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.73033 S 162.05768 E,T11_16S,PAIRED,PCR,GENOMIC,Total: 0.42%,sediment metagenome,7.6,ILLUMINA,2020-10-09T00:00:00Z,Taylor Glacier replicate 10,SIPRE core frozen,160.7 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,T11,SRP286940,< 0 C,22%
SRR12805383,AMPLICON,502,16020326,PRJNA668398,SAMN16408951,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",10400223,UNIVERSITY OF COLORADO AT BOULDER,0.101 ug / g cryoconite,Dec-2017,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",0.32,0.39,0.37,0.88,350,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274130,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.73033 S 162.05768 E,T10_16S,PAIRED,PCR,GENOMIC,Total: 0.42%,sediment metagenome,7.94,ILLUMINA,2020-10-09T00:00:00Z,Taylor Glacier replicate 9,SIPRE core frozen,16.4 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,T10,SRP286940,< 0 C,26%
SRR12805384,AMPLICON,502,11759852,PRJNA668398,SAMN16408950,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",7586214,UNIVERSITY OF COLORADO AT BOULDER,0.028 ug / g cryoconite,Dec-2017,public,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",0.33,0.28,0.25,0.79,350,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274129,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.73033 S 162.05768 E,T9_16S,PAIRED,PCR,GENOMIC,Total: 0.44%,sediment metagenome,7.98,ILLUMINA,2020-10-09T00:00:00Z,Taylor Glacier replicate 8,SIPRE core frozen,60.2 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,T9,SRP286940,< 0 C,23%
SRR12805385,AMPLICON,502,16010788,PRJNA668398,SAMN16408923,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",10283306,UNIVERSITY OF COLORADO AT BOULDER,0.037 ug / g cryoconite,Dec-2017,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",0.12,0.14,0.14,13.43,200,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274128,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.61913 S 162.937283 E,CAN24_16S,PAIRED,PCR,GENOMIC,Total: 0.82%,sediment metagenome,8.9,ILLUMINA,2020-10-09T00:00:00Z,Canada Glacier replicate 4,SIPRE core frozen,19.7 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,CAN24,SRP286940,< 0 C,34%
SRR12805386,AMPLICON,502,13644360,PRJNA668398,SAMN16408949,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",8817923,UNIVERSITY OF COLORADO AT BOULDER,0.034 ug / g cryoconite,Dec-2017,public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",0.4,0.56,0.4,1.21,350,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274127,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.73033 S 162.05768 E,T8_16S,PAIRED,PCR,GENOMIC,NA,sediment metagenome,8.18,ILLUMINA,2020-10-09T00:00:00Z,Taylor Glacier replicate 7,SIPRE core frozen,47.3 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,T8,SRP286940,< 0 C,7%
SRR12805387,AMPLICON,502,13950580,PRJNA668398,SAMN16408948,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",9164753,UNIVERSITY OF COLORADO AT BOULDER,0.034 ug / g cryoconite,Dec-2017,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",0.34,0.9,0.79,2,350,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274126,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.73033 S 162.05768 E,T7_16S,PAIRED,PCR,GENOMIC,Total: 0.4%,sediment metagenome,7.66,ILLUMINA,2020-10-09T00:00:00Z,Taylor Glacier replicate 6,SIPRE core frozen,136.4 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,T7,SRP286940,< 0 C,24%
SRR12805388,AMPLICON,502,15104678,PRJNA668398,SAMN16408947,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",9819459,UNIVERSITY OF COLORADO AT BOULDER,0.021 ug / g cryoconite,Dec-2017,public,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",0.28,0.17,0.17,0.99,350,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274125,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.73033 S 162.05768 E,T6_16S,PAIRED,PCR,GENOMIC,Total: 0.34%,sediment metagenome,8.6,ILLUMINA,2020-10-09T00:00:00Z,Taylor Glacier replicate 5,SIPRE core frozen,31 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,T6,SRP286940,< 0 C,25%
SRR12805389,AMPLICON,502,16371224,PRJNA668398,SAMN16408946,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",10650749,UNIVERSITY OF COLORADO AT BOULDER,0.024 ug / g cryoconite,Dec-2017,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",0.25,0.2,0.2,1.09,350,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274124,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.73033 S 162.05768 E,T5_16S,PAIRED,PCR,GENOMIC,Total: 0.4%,sediment metagenome,8.15,ILLUMINA,2020-10-09T00:00:00Z,Taylor Glacier replicate 4,SIPRE core frozen,68.6 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,T5,SRP286940,< 0 C,23%
SRR12805390,AMPLICON,502,18226616,PRJNA668398,SAMN16408945,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",11953254,UNIVERSITY OF COLORADO AT BOULDER,0.113 ug / g cryoconite,Dec-2017,public,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",0.22,0.15,0.15,0.94,350,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274123,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.73033 S 162.05768 E,T4_16S,PAIRED,PCR,GENOMIC,Total: 0.38%,sediment metagenome,8.29,ILLUMINA,2020-10-09T00:00:00Z,Taylor Glacier replicate 3,SIPRE core frozen,8.1 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,T4,SRP286940,< 0 C,26%
SRR12805391,AMPLICON,502,20274776,PRJNA668398,SAMN16408944,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",13443114,UNIVERSITY OF COLORADO AT BOULDER,0.041 ug / g cryoconite,Dec-2017,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",NA,0.28,0.29,1.47,350,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274122,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.73033 S 162.05768 E,T2_16S,PAIRED,PCR,GENOMIC,Total: 0.37%,sediment metagenome,9.1,ILLUMINA,2020-10-09T00:00:00Z,Taylor Glacier replicate 2,SIPRE core frozen,56.6 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,T2,SRP286940,< 0 C,23%
SRR12805392,AMPLICON,502,16931958,PRJNA668398,SAMN16408943,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",10903656,UNIVERSITY OF COLORADO AT BOULDER,0.034 ug / g cryoconite,Dec-2017,public,"sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",NA,0.44,0.44,1.95,350,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274121,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.73033 S 162.05768 E,T1_16S,PAIRED,PCR,GENOMIC,Total: 0.37%,sediment metagenome,8.79,ILLUMINA,2020-10-09T00:00:00Z,Taylor Glacier replicate 1,SIPRE core frozen,75.7 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,T1,SRP286940,< 0 C,24%
SRR12805393,AMPLICON,502,15239214,PRJNA668398,SAMN16408942,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",10014438,UNIVERSITY OF COLORADO AT BOULDER,NA,Dec-2017,public,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",0.16,0.07,0.07,5.35,200,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274120,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.61913 S 162.937283 E,CAN40c_16S,PAIRED,PCR,GENOMIC,Total: 0.48%,sediment metagenome,8.63,ILLUMINA,2020-10-09T00:00:00Z,Canada Glacier replicate 23,SIPRE core frozen,6.7 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,CAN40c,SRP286940,< 0 C,25%
SRR12805394,AMPLICON,502,17294402,PRJNA668398,SAMN16408941,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",11174837,UNIVERSITY OF COLORADO AT BOULDER,0.228 ug / g cryoconite,Dec-2017,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",0.15,0.1,0.1,10.53,200,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274119,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.61913 S 162.937283 E,CAN40b_16S,PAIRED,PCR,GENOMIC,Total: 0.58%,sediment metagenome,9.02,ILLUMINA,2020-10-09T00:00:00Z,Canada Glacier replicate 22,SIPRE core frozen,14 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,CAN40b,SRP286940,< 0 C,32%
SRR12805395,AMPLICON,502,14520350,PRJNA668398,SAMN16408940,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",9436951,UNIVERSITY OF COLORADO AT BOULDER,0.026 ug / g cryoconite,Dec-2017,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",0.16,0.17,0.17,13.17,200,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274118,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.61913 S 162.937283 E,CAN40a_16S,PAIRED,PCR,GENOMIC,Total: 0.47%,sediment metagenome,8.74,ILLUMINA,2020-10-09T00:00:00Z,Canada Glacier replicate 21,SIPRE core frozen,48 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,CAN40a,SRP286940,< 0 C,31%
SRR12805396,AMPLICON,502,15681476,PRJNA668398,SAMN16408922,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",10176118,UNIVERSITY OF COLORADO AT BOULDER,0.069 ug / g cryoconite,Dec-2017,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",0.2,0.2,0.24,7.81,200,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274117,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.61913 S 162.937283 E,CAN23_16S,PAIRED,PCR,GENOMIC,Total: 0.53%,sediment metagenome,8.29,ILLUMINA,2020-10-09T00:00:00Z,Canada Glacier replicate 3,SIPRE core frozen,54.8 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,CAN23,SRP286940,< 0 C,29%
SRR12805397,AMPLICON,502,21694934,PRJNA668398,SAMN16408939,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",14039300,UNIVERSITY OF COLORADO AT BOULDER,0.051 ug / g cryoconite,Dec-2017,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",0.3,0.67,0.68,7.31,200,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274116,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.61913 S 162.937283 E,CAN40_16S,PAIRED,PCR,GENOMIC,NA,sediment metagenome,8.49,ILLUMINA,2020-10-09T00:00:00Z,Canada Glacier replicate 20,SIPRE core frozen,111.3 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,CAN40,SRP286940,< 0 C,39%
SRR12805398,AMPLICON,502,16206568,PRJNA668398,SAMN16408938,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",10482900,UNIVERSITY OF COLORADO AT BOULDER,0.039 ug / g cryoconite,Dec-2017,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",0.27,0.5,0.51,7.67,200,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274115,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.61913 S 162.937283 E,CAN39_16S,PAIRED,PCR,GENOMIC,Total: 0.6%,sediment metagenome,8.34,ILLUMINA,2020-10-09T00:00:00Z,Canada Glacier replicate 19,SIPRE core frozen,91.6 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,CAN39,SRP286940,< 0 C,26%
SRR12805399,AMPLICON,502,12302012,PRJNA668398,SAMN16408937,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",8029788,UNIVERSITY OF COLORADO AT BOULDER,0.034 ug / g cryoconite,Dec-2017,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",0.25,0.49,0.51,12.54,200,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274114,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.61913 S 162.937283 E,CAN38_16S,PAIRED,PCR,GENOMIC,Total: 0.72%,sediment metagenome,8.61,ILLUMINA,2020-10-09T00:00:00Z,Canada Glacier replicate 18,SIPRE core frozen,86.6 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,CAN38,SRP286940,< 0 C,32%
SRR12805400,AMPLICON,502,11369798,PRJNA668398,SAMN16408936,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",7388789,UNIVERSITY OF COLORADO AT BOULDER,0.138 ug / g cryoconite,Dec-2017,public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",0.35,0.67,0.77,6.12,200,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274113,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.61913 S 162.937283 E,CAN37_16S,PAIRED,PCR,GENOMIC,Total: 0.52%,sediment metagenome,8.67,ILLUMINA,2020-10-09T00:00:00Z,Canada Glacier replicate 17,SIPRE core frozen,57.7 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,CAN37,SRP286940,< 0 C,23%
SRR12805401,AMPLICON,502,14175978,PRJNA668398,SAMN16408935,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",9295349,UNIVERSITY OF COLORADO AT BOULDER,0.039 ug / g cryoconite,Dec-2017,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",0.26,0.37,0.34,27.65,200,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274112,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.61913 S 162.937283 E,CAN36_16S,PAIRED,PCR,GENOMIC,Total: 0.88%,sediment metagenome,8.76,ILLUMINA,2020-10-09T00:00:00Z,Canada Glacier replicate 16,SIPRE core frozen,79.4 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,CAN36,SRP286940,< 0 C,36%
SRR12805402,AMPLICON,502,15174958,PRJNA668398,SAMN16408934,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",9815464,UNIVERSITY OF COLORADO AT BOULDER,0.129 ug / g cryoconite,Dec-2017,public,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",0.29,0.45,0.55,15.91,200,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274111,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.61913 S 162.937283 E,CAN35_16S,PAIRED,PCR,GENOMIC,Total: 0.95%,sediment metagenome,8.42,ILLUMINA,2020-10-09T00:00:00Z,Canada Glacier replicate 15,SIPRE core frozen,67 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,CAN35,SRP286940,< 0 C,36%
SRR12805403,AMPLICON,502,13249286,PRJNA668398,SAMN16408933,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",8585334,UNIVERSITY OF COLORADO AT BOULDER,0.079 ug / g cryoconite,Dec-2017,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",0.22,0.62,0.8,8.79,200,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274110,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.61913 S 162.937283 E,CAN34_16S,PAIRED,PCR,GENOMIC,Total: 0.58%,sediment metagenome,8.63,ILLUMINA,2020-10-09T00:00:00Z,Canada Glacier replicate 14,SIPRE core frozen,86.8 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,CAN34,SRP286940,< 0 C,30%
SRR12805404,AMPLICON,502,18216074,PRJNA668398,SAMN16408932,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",11930532,UNIVERSITY OF COLORADO AT BOULDER,0.025 ug / g cryoconite,Dec-2017,public,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",0.19,0.33,0.45,8.9,200,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274109,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.61913 S 162.937283 E,CAN33_16S,PAIRED,PCR,GENOMIC,Total: 0.59%,sediment metagenome,9.22,ILLUMINA,2020-10-09T00:00:00Z,Canada Glacier replicate 13,SIPRE core frozen,68.3 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,CAN33,SRP286940,< 0 C,34%
SRR12805406,AMPLICON,502,14334108,PRJNA668398,SAMN16408930,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",9266532,UNIVERSITY OF COLORADO AT BOULDER,0.108 ug / g cryoconite,Dec-2017,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",0.27,0.44,0.44,8.55,200,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274107,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.61913 S 162.937283 E,CAN31_16S,PAIRED,PCR,GENOMIC,Total: 0.54%,sediment metagenome,8.61,ILLUMINA,2020-10-09T00:00:00Z,Canada Glacier replicate 11,SIPRE core frozen,36.2 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,CAN31,SRP286940,< 0 C,29%
SRR12805407,AMPLICON,502,15655372,PRJNA668398,SAMN16408921,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",10123185,UNIVERSITY OF COLORADO AT BOULDER,0.079 ug / g cryoconite,Dec-2017,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",0.18,0.23,0.24,22.84,200,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274106,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.61913 S 162.937283 E,CAN22_16S,PAIRED,PCR,GENOMIC,Total: 0.7%,sediment metagenome,8.59,ILLUMINA,2020-10-09T00:00:00Z,Canada Glacier replicate 2,SIPRE core frozen,65.2 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,CAN22,SRP286940,< 0 C,28%
SRR12805408,AMPLICON,502,9520932,PRJNA668398,SAMN16408920,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",6037152,UNIVERSITY OF COLORADO AT BOULDER,0.05 ug / g cryoconite,Dec-2017,public,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",0.15,0.18,0.19,13.63,200,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274105,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.61913 S 162.937283 E,CAN21_16S,PAIRED,PCR,GENOMIC,Total: 0.63%,sediment metagenome,8.39,ILLUMINA,2020-10-09T00:00:00Z,Canada Glacier replicate 1,SIPRE core frozen,27.2 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,CAN21,SRP286940,< 0 C,33%
